"field_id","fp_id","lab_no","harvest","n","c","cn_ratio"
"g4",451,331,"H3",1.679647326,44.53686142,26.51560211
"g4",452,331,"H3",1.690935254,44.87901688,26.54094315
"g4",453,331,"H3",1.820637465,44.97596359,24.70341492
"g4",454,331,"H3",1.573132873,44.95039749,28.57380867
"g4",455,331,"H3",2.167087078,44.56809235,20.5658989
"g4",456,331,"H3",1.828617215,44.4005127,24.28092194
"g4",457,331,"H3",1.909568787,45.20293427,23.67180252
"g4",458,331,"H3",2.09061265,45.83744049,21.92536354
"g4",459,331,"H3",2.115575552,45.29819107,21.41175842
"g4",460,331,"H3",2.23016715,46.45994568,20.83249474
